Título;Ano;Nota IMDb;Gênero;País de Origem;Idioma;;;;;
Strip Nude for Your Killer;1975;5,6;Erotic Thriller, Giallo, Slasher Horror, Horror, Mystery, Thriller;Italy;Italian;;;;;
Carry on Behind;1975;5,6;Parody, Slapstick, Comedy;United Kingdom;English;;;;;
So Young, So Lovely, So Vicious...;1975;4,9;Drama, Mystery, Thriller;Italy;Italian;;;;;
Mahogany;1975;6,1;Drama, Romance;United States;English, Italian;;;;;
Foreplay;1975;4;Parody, Satire, Sketch Comedy, Comedy;United States;English;;;;;
The Man from Hong Kong;1975;6,6;Action, Adventure, Crime, Drama;Australia, Hong Kong;English, Mandarin;;;;;
Night of the Seagulls;1975;5,7;Horror;Spain;Spanish;;;;;
The Olsen Gang on the Track;1975;7,2;Comedy, Crime, Family;Denmark;Danish;;;;;
A Woman Called Sada Abe;1975;6,1;Biography, Drama;Japan;Japanese;;;;;
Zinda Dil;1975;6,9;Action, Romance;India;Hindi;;;;;
Disciples of Shaolin;1975;6,6;Martial Arts, Action, Drama;Hong Kong, Taiwan;Mandarin;;;;;
Oh, God!;1977;6,6;Comedy, Fantasy;United States;English, Spanish;;;;;\
Heroes;1977;6;Psychological Drama, Comedy, Drama;United States;English, Spanish;;;;;
Race for Your Life, Charlie Brown;1977;7,2;HandDrawn Animation, Quest, Adventure, Animation, Comedy, Family;United States;English;;;;;
Short Eyes;1977;7;Drama;United States;English;;;;;
Soldier of Orange;1977;7,6;Drama, Romance, Thriller, War;Netherlands, Belgium;Dutch, English, German;;;;;
Amar Akbar Anthony;1977;7,4;Action, Comedy, Drama, Music;India;Hindi;;;;;
Messalina, Messalina;1977;4;Parody, Adventure, Comedy;Italy;Italian;;;;;
Beast with a Gun;1977;5,9;Action, Crime, Drama, Thriller;Italy;Italian;;;;;
Porno Nights of the World;1977;4;Documentary;Italy;Italian, English;;;;;
Charleston;1977;5,5;Comedy;Italy;Italian;;;;;
Double Nickels;1977;5;Police Procedural, Action, Comedy, Crime;United States;English;;;;;
The Professionals;1966;7,3;Action, Adventure, Drama, Western;United States;English, Spanish;;;;;
Duel at Diablo;1966;6,5;Classical Western, Drama, Thriller, Western;United States;English;;;;;
Return of the Seven;1966;5,5;Action, Drama, Western;Spain, United States;English, Spanish, Greek, Ancient to 1453, Latin;;;;;
The Ghost in the Invisible Bikini;1966;4,6;Comedy, Horror, Musical;United States;English;;;;;
Made in Paris;1966;5,4;Romantic Comedy, Comedy, Romance;United States;English, French;;;;;
The Daydreamer;1966;6,1;Fairy Tale, Stop Motion Animation, Adventure, Animation, Drama, Family, Fantasy, Musical;United States, Japan, Canada;English;;;;;
Come imparai ad amare le donne;1966;5,3;Comedy;Italy, France, West Germany;Italian;;;;;
The Round-Up;1966;7,5;Drama, History, War, Western;Hungary;Hungarian;;;;;
War Between the Planets;1966;4,1;SciFi;Italy;Italian;;;;;
Secret Agent Super Dragon;1966;2,6;Mystery, Thriller;Italy, France, West Germany;Italian;;;;;
As Long as You've Got Your Health;1966;7,1;Satire, Comedy;France;French;;;;;
An Eye for an Eye;1966;6,1;Western;United States;English;;;;;
Abschied von gestern - (Anita G.);1966;6,9;Drama;West Germany;German;;;;;
O papatrehas;1966;7,9;Comedy;Greece;Greek;;;;;
Jesse James Meets Frankenstein's Daughter;1966;3,4;Horror, SciFi, Western;United States;English, German;;;;;
Krybskytterne på Næsbygård;1966;5,5;Drama, Family;Denmark;Danish;;;;;
Wake Up and Die;1966;6,2;Crime, Drama;Italy, France;Italian;;;;;
Der lachende Mann - Bekenntnisse eines Mörders;1966;7,1;Documentary, War;East Germany;German;;;;;
Movie Madness;1982;3,2;Parody, Comedy;United States;English;;;;;
Love Strange Love;1982;5,8;Drama;Brazil;Portuguese;;;;;
Moj tata na odredjeno vreme;1982;7,1;Comedy;Yugoslavia;SerboCroatian;;;;;
Maa Bhabani Maa Aamar;1982;;Drama;India;Bengali;;;;;
Harry Tracy: The Last of the Wild Bunch;1982;6,1;Drama, Western;Canada;English;;;;;
Held;2020;5,3;Horror, Mystery, Thriller;United States;English;;;;;
MLK/FBI;2020;7;History Documentary, Biography, Documentary, History;United States;English;;;;;
Minyan;2020;6,5;Drama;United States;English, Hebrew, Yiddish, Russian;;;;;
The Old Guard;2020;6,7;Globetrotting Adventure, Superhero, Action, Thriller;United States, France, Iceland, United Kingdom, Morocco, Canada;English, Arabic, French, Italian;;;;;
Run;2020;6,7;Psychological Thriller, Suspense Mystery, Drama, Horror, Mystery, Thriller;United States, Canada;English;;;;;
The Very Excellent Mr. Dundee;2020;5;Comedy;Australia, United States;English;;;;;
Palm Swings;2020;4,4;Comedy, Drama, Romance;United States;English;;;;;
#Alive;2020;6,3;Zombie Horror, Action, Drama, Horror, Thriller;South Korea;Korean;;;;;
Butchers;2020;4,6;Slasher Horror, Horror, Thriller;Canada;English;;;;;
The Sleepover;2020;5,7;Action, Adventure, Comedy, Family;United States;English;;;;;
A Whisker Away;2020;6,7;Anime, Adventure, Animation, Drama, Family, Fantasy, Romance;Japan;Japanese;;;;;
Original Gangster;2020;5;Crime;United Kingdom;English;;;;;
Christmas with a Crown;2020;5,4;Holiday Romance, Holiday, Romance;Canada;English;;;;;
Love Sarah;2020;6,2;Comedy, Drama, Romance;United Kingdom;English;;;;;
Sky High;2020;5,6;Thriller;Spain;Spanish;;;;;
13 Slays Till X-Mas;2020;4,1;Horror;United States;English;;;;;
Escape from Planet Earth;2012;5,8;;;;;;;;
Here Comes the Boom;2012;6,4;;;;;;;;
Abraham Lincoln: Vampire Hunter;2012;5,9;Dark Fantasy, Vampire Horror, Action, Fantasy, Horror;United States, Russia;English;;;;;
The Impossible;2012;7,5;Disaster, Tragedy, Drama, History, Thriller;Spain, Thailand, United States;English, Thai, German, Swedish, Spanish;;;;;
Man on a Ledge;2012;6,6;Dark Comedy, Action, Crime, Thriller;United States;English, Spanish;;;;;
Evangelion: 3.0 You Can (Not) Redo;2012;6,9;Adult Animation, Anime, Mecha, Action, Animation, Drama, SciFi;Japan;English, German, Spanish, French, Catalan, Russian, Italian, Korean, Thai, Cantonese, Japanese;;;;;
Our Children;2012;6,8;Crime, Drama;Belgium, Luxembourg, France, Switzerland;French, Arabic;;;;;
Star Wars: Episode VIII - The Last Jedi;2017;6,9;Action Epic, Adventure Epic, Fantasy Epic, SciFi Epic, Space SciFi, Action, Adventure, Fantasy, SciFi;United States;English;;;;;
Kingsman: The Golden Circle;2017;6,7;Drug Crime, Satire, Action, Adventure, Comedy, Crime, Thriller;United Kingdom, United States, Italy;English, Italian, Swedish;;;;;
Captain Underpants: The First Epic Movie;2017;6,2;Buddy Comedy, Computer Animation, Farce, HighConcept Comedy, Parody, Slapstick, Superhero, Urban Adventure, Action, Adventure;United States, Canada, France;English, German;;;;;
Happy Death Day;2017;6,6;Dark Comedy, Slasher Horror, Teen Horror, Comedy, Horror, Mystery, Thriller;United States;English, Spanish;;;;;
The Circle;2017;5,4;Conspiracy Thriller, Cyber Thriller, Drama, Mystery, SciFi, Thriller;United Arab Emirates, United States, France;English;;;;;
Phoenix Forgotten;2017;5,4;Found Footage Horror, Horror, Mystery, SciFi, Thriller;United States;English;;;;;
The Rider;2017;7,4;Drama, Western;United States;English, Sioux, Spanish;;;;;
Pokémon the Movie: I Choose You!;2017;6,3;Anime, Action, Adventure, Animation, Comedy, Drama, Family, Fantasy, SciFi;Japan, United States;Japanese, English;;;;;
Jane;2017;7,8;Science  Technology Documentary, Biography, Documentary;United States;English;;;;;
3 Idiots;2017;4,4;Comedy;Mexico;Spanish;;;;;
Thelma;2017;6,9;Drama, Fantasy, Horror, Mystery, Romance, SciFi, Thriller;Norway, France, Denmark, Sweden;Norwegian, Swedish, English;;;;;
Saving Brinton;2017;7,5;Documentary;United States;English;;;;;
Beautiful Accident;2017;6,5;Comedy, Fantasy;Taiwan, China, South Korea;Mandarin;;;;;
The China Hustle;2017;7,1;Documentary;United States;English, Mandarin;;;;;
Pirates of the Caribbean: On Stranger Tides;2011;6,6;Fantasy Epic, Quest, Sea Adventure, Swashbuckler, Action, Adventure, Fantasy;United States, United Kingdom;English, Spanish;;;;;
Captain America: The First Avenger;2011;6,9;SciFi Epic, Superhero, Action, Adventure, SciFi;United States;English, Norwegian, French;;;;;
Final Destination 5;2011;5,9;;;;;;;;
The Rum Diary;2011;6,1;Comedy, Drama;United Kingdom, United States;English, Spanish, German;;;;;
Take Shelter;2011;7,3;Psychological Drama, Psychological Thriller, Workplace Drama, Drama, Thriller;United States;English;;;;;
Rampart;2011;5,8;Crime, Drama;United States;English;;;;;
Pariah;2011;7,2;ComingofAge, Teen Drama, Drama;United States;English;;;;;
The Last Lions;2011;8,2;Nature Documentary, Documentary, Family;United States, Botswana;English;;;;;
Undefeated;2011;7,7;Football, Sports Documentary, Documentary, Sport;United States;English;;;;;
Creature;2011;3,6;Horror;United States;English;;;;;
CornerStore;2011;7,2;Comedy;United States;English;;;;;
The Swimming Pool;1969;7,1;Psychological Drama, Crime, Drama, Romance;France, Italy;French, English;;;;;
Hook, Line and Sinker;1969;5,4;Comedy;United States;English, Spanish, Portuguese;;;;;
Double Suicide;1969;7,6;Drama, Romance;Japan;Japanese;;;;;
Snegurochka;1969;6,9;Family, Fantasy, Musical, Romance;Soviet Union;Russian;;;;;
Van de Velde: Das Leben zu zweit - Sexualität in der Ehe;1969;4,1;Romance;West Germany;German;;;;;
Angel;1983;5,8;Action, Crime, Thriller;United States;English;;;;;
Gabriela;1983;6,2;Comedy, Drama, Romance;Brazil;Portuguese;;;;;
El Sur;1983;7,8;ComingofAge, Tragic Romance, Drama, Mystery, Romance;Spain, France;Spanish;;;;;
Eyes of Fire;1983;6,2;Folk Horror, Drama, Horror, Western;United States;English;;;;;
Spring Symphony;1983;6,1;Biography, Music;West Germany;German;;;;;
Thoongathey Tambi Thoongathey;1983;6,5;Drama;India;Tamil;;;;;
Kirot;1983;4;Drama, Romance;Philippines;Filipino, English, Tagalog;;;;;
Cannonball Run II;1984;5,1;Car Action, Road Trip, Action, Comedy;Hong Kong, United States;English;;;;;
The NeverEnding Story;1984;7,3;Adventure Epic, Fantasy Epic, Quest, Sword  Sorcery, Adventure, Drama, Family, Fantasy;West Germany, United States;English;;;;;
Breakin' 2: Electric Boogaloo;1984;5,2;Pop Musical, Comedy, Drama, Musical;United States;English, Spanish;;;;;
Birdy;1984;7,2;Drama, War;United States;English;;;;;
Petit Con;1984;6;Comedy;France;French;;;;;
Winter Flight;1984;7,3;Drama, Romance;United Kingdom;English;;;;;
The Dog Who Stopped the War;1984;7,5;Comedy, Drama, Family;Canada;French;;;;;
Double Trouble;1984;7,1;Buddy Comedy, Action, Comedy;Italy, Brazil;Italian, English, Portuguese;;;;;
Sword of the Valiant;1984;4,4;Swashbuckler, Sword  Sorcery, Action, Adventure, Fantasy, Romance;United Kingdom;English;;;;;
Hell Behind the Bars;1984;3,8;Action, Crime, Drama, Thriller;Italy;English, Italian;;;;;
Rats: Night of Terror;1984;4,7;BHorror, Horror, SciFi;Italy, France;Italian;;;;;
Maybe It's Love;1984;5,5;Drama, Mystery;Hong Kong;Cantonese;;;;;
Japanese Woman;1984;;Documentary;Canada;English;;;;;
Elite Devassa;1984;5;Drama;Brazil;Portuguese;;;;;
Pati Patni Aur Woh;2019;5,8;Comedy, Romance;India;Hindi;;;;;
The Reliant;2019;3,3;Action;United States;English;;;;;
The Informer;2019;6,6;Police Procedural, Prison Drama, Spy, Action, Crime, Drama, Thriller;United Kingdom, Canada, United States;English, Polish, Spanish;;;;;
Mister America;2019;6,4;Comedy;United States;English;;;;;
Intuitions;2019;3,7;Romance, Thriller;United States;English, Spanish;;;;;
Kill Bill: Vol. 2;2004;8;Kung Fu, Martial Arts, OnePerson Army Action, Action, Crime, Thriller;United States;English, Cantonese, Mandarin, Spanish;;;;;
Kung Fu Hustle;2004;7,7;Kung Fu, Martial Arts, Parody, Slapstick, Wuxia, Action, Comedy, Fantasy;Hong Kong, China, United States;Mandarin, Cantonese;;;;;
Envy;2004;4,8;Buddy Comedy, Dark Comedy, Comedy;United States;English, Italian;;;;;
Touch of Pink;2004;6,4;Comedy, Drama, Romance;United Kingdom, Canada;English;;;;;
Kings & Queen;2004;7;Comedy, Drama, Romance;France;French, English, German;;;;;
Rolling Family;2004;6,6;Comedy, Drama;Argentina, Brazil, France, Germany, Spain, United Kingdom;Spanish;;;;;
The Ister;2004;7,1;Documentary;Australia;French, German, Romanian, English;;;;;
Producing Adults;2004;6,1;Comedy, Drama;Finland, Sweden;Finnish;;;;;
King's Game;2004;7,3;Political Thriller, Drama, Thriller;Denmark, Sweden;Danish;;;;;
Madame;1961;6;Comedy, Drama, Romance, War;France, Italy, Spain;French, Italian;;;;;
A Cold Wind in August;1961;6,6;Drama;United States;Italian, English;;;;;
Pagan Island;1961;4,5;Action, Adventure;United States;English;;;;;
Queen of the Seas;1961;5,5;Action, Adventure, Drama, Romance;Italy, France;Italian;;;;;
The Canadians;1961;5,4;Western;United Kingdom, Canada;English;;;;;
Lalaban kami;1961;;Comedy, Western;Philippines;Filipino, Tagalog;;;;;
Suicídate mi amor;1961;7;Comedy, Drama;Mexico;Spanish;;;;;
The Corsican Brothers;1961;5,5;Action;France, Italy;Italian, French;;;;;
Big Wednesday;1961;;Adventure, Documentary, Sport;United States;English;;;;;
I Now Pronounce You Chuck & Larry;2007;5,9;Comedy, Romance;United States;English;;;;;
Because I Said So;2007;5,6;Romantic Comedy, Comedy, Romance;United States;English, Mandarin, Italian;;;;;
28 Weeks Later;2007;6,9;Zombie Horror, Horror, SciFi;United Kingdom, Spain, United States;English;;;;;
Daddy Day Camp;2007;3,2;Slapstick, Comedy, Family;United States;English;;;;;
Nobel Son;2007;6,1;Caper, Dark Comedy, Comedy, Crime, Drama, Thriller;United States;English;;;;;
My Winnipeg;2007;7,5;Dark Comedy, Comedy, Documentary, Drama, Fantasy, History;Canada;English;;;;;
Cover;2007;5,3;Crime, Drama, Thriller;United States;English;;;;;
Fear(s) of the Dark;2007;6,6;Adult Animation, Supernatural Horror, Animation, Horror, Mystery;France, Belgium;French;;;;;
Mother of Tears;2007;5;Supernatural Horror, Witch Horror, Drama, Horror, Thriller;Italy;Italian, Japanese, Hungarian, English;;;;;
YPF;2007;6,2;Comedy, Drama, Romance;Canada;English;;;;;
Bronco Billy;1980;6,2;Contemporary Western, Action, Adventure, Comedy, Drama, Romance, Western;United States;English;;;;;
The Gong Show Movie;1980;4,4;Dark Comedy, Comedy;United States;English;;;;;
The King and the Mockingbird;1980;7,7;Animation, Family, Fantasy, Romance;France;French;;;;;
The Amorous Sisters;1982;4,9;Comedy;Switzerland;German;;;;;
Nightkill;1980;5,5;Crime, Horror, Mystery, Thriller;United States, West Germany;English;;;;;
Zübük;1980;8,5;Comedy;Turkey;Turkish;;;;;
Confidence;1980;7,5;Drama;Hungary;Hungarian, German;;;;;
Girls;1980;5,2;Drama;Canada, France, West Germany;French;;;;;
Quello strano desiderio;1980;4,6;Comedy, SciFi;Italy;Italian;;;;;
Challengers;2024;7,1;Psychological Drama, Steamy Romance, Comedy, Drama, Romance, Sport;Italy, United States;English, Romanian;;;;;
The Exorcism;2024;4,2;Psychological Horror, Supernatural Horror, Horror, Thriller;United States;English;;;;;
Bird;2024;7,1;ComingofAge, Drama;United Kingdom, United States, France, Germany;English;;;;;
Crossing;2024;7,5;Drama;Sweden, Denmark, France, Turkey, Georgia;Georgian, Turkish, English;;;;;
The Last Showgirl;2024;6,1;Drama;United States;English;;;;;
Rajkumar;2024;7,3;Drama, Family, Romance;Bangladesh;Bengali;;;;;
Pastor's Kid;2024;6,5;Biography, Drama;United States;English;;;;;
Mind Body & Soul;2024;7,5;Comedy;United States;English;;;;;
Jackpot!;2024;5,8;Buddy Comedy, Dark Comedy, Slapstick, Action, Comedy;United States;English;;;;;
Armand;2024;6,4;Psychological Drama, Drama;Norway, Netherlands, Germany, Sweden, United Kingdom;Norwegian, English;;;;;
Diamanti;2024;7,1;Comedy, Drama;Italy;Italian;;;;;
Mea Culpa;2024;4,2;Erotic Thriller, Crime, Drama, Thriller;United States;English;;;;;
All the Lost Ones;2024;4,3;Drama, SciFi, Thriller;Canada;English;;;;;
Brewster's Millions: Christmas;2024;5,7;Family;United States;English;;;;;
Colors of Evil: Red;2024;6,4;Crime, Drama, Mystery, Thriller;Poland;Polish;;;;;
Ricochet;1991;6,2;Cop Drama, Action, Crime, Drama, Thriller;United States;English, Spanish, German, French;;;;;
Career Opportunities;1991;5,8;FeelGood Romance, Romantic Comedy, Comedy, Romance;United States;English;;;;;
