ID_Filme;title;rating;release_date;countries_origin;genres;languages
68;What Maisie Knew;74;terça-feira, 5 de março de 2013;United States;Drama;English
72;Disfigured;66;sexta-feira, 7 de novembro de 2008;United States;Drama;English
76;Stage Madness;0;quinta-feira, 1 de setembro de 1927;United States;Drama;English
160;Half a Sinner;73;sábado, 6 de janeiro de 1934;United States;Drama;English
167;The New Twenty;52;domingo, 7 de dezembro de 2008;United States;Drama;English
178;Chapter & Verse;64;terça-feira, 6 de dezembro de 2016;United States;Drama;English
254;Pvt Chat;58;quinta-feira, 2 de setembro de 2021;United States;Drama;English
348;Walk Proud;54;terça-feira, 11 de setembro de 1979;United States;Drama;English
356;Raymie;70;sábado, 7 de maio de 1960;United States;Drama;English
357;Chestnut;48;quarta-feira, 7 de fevereiro de 2024;United States;Drama;English
361;Redwood Highway;63;sábado, 4 de maio de 2013;United States;Drama;English
378;Mandalay;66;terça-feira, 2 de outubro de 1934;United States;Drama;English
401;God's Not Dead: We the People;43;quinta-feira, 11 de novembro de 2021;United States;Drama;English
408;Three Days of Rain;55;quinta-feira, 5 de dezembro de 2002;United States;Drama;English
411;Father's Son;64;sexta-feira, 3 de julho de 1931;United States;Drama;English
424;Gallant Lady;69;terça-feira, 1 de maio de 1934;United States;Drama;English
451;The Street of Illusion;0;sexta-feira, 9 de março de 1928;United States;Drama;English
459;Georges Bataille's Story of the Eye;33;sexta-feira, 12 de dezembro de 2003;United States;Drama;English
531;Parrish;65;quarta-feira, 5 de abril de 1961;United States;Drama;English
537;The Hottest Bid;55;domingo, 1 de janeiro de 1995;United States;Drama;English
558;Decoding Annie Parker;62;quarta-feira, 5 de fevereiro de 2014;United States;Drama;English
566;Vito Bonafacci;66;domingo, 5 de junho de 2011;United States;Drama;English
611;Brave New World;0;sábado, 2 de abril de 1932;United States;Drama;English
653;Handsome Harry;61;sábado, 12 de junho de 2010;United States;Drama;English
689;Wildfire;45;sexta-feira, 12 de fevereiro de 1988;United States;Drama;English
